Parliamentary constituency name,Parliamentary constituency code,Proportion of usual resident population 65 years and over1,State Pension claimant rate2,General good health rate3,Proportion of the population identified as non-white4,Median house price (£)5,Employment rate aged 16-646,Unemployment rate aged 16 years plus7,Families receiving child or working tax credit as a percentage of households8,Median personal income (£)9,Number of  businesses per 10000 residents10
Aldershot,E14000530,13.7,14.5,85.7,14.5,"213,000",80.5,5.2,17.4,23500,303.6
Aldridge-Brownhills,E14000531,22.6,24.3,78.4,6.9,"155,000",72.2,7.1,23.5,20600,273.9
Altrincham and Sale West,E14000532,18,19.5,85,9.6,"236,000",80.2,5.2,12.9,25900,490.8
Amber Valley,E14000533,19.7,21.7,77.8,1.6,"120,000",72.2,:,27,21500,296
Arundel and South Downs,E14000534,25.8,27.5,83.8,2.3,"299,998",78.7,6,14.9,24200,557.5
Ashfield,E14000535,18.8,20.8,75.7,2,"105,000",67.9,5.1,24.3,18100,213.4
Ashford,E14000536,18,19.6,82.7,6.5,"195,000",74.7,4.1,21.8,21800,426.9
Ashton-under-Lyne,E14000537,16.5,18.2,77,12.6,"94,750",60.9,12.6,30.6,18300,225.6
Aylesbury,E14000538,14.9,16.2,85.3,14.2,"219,950",76.8,2.6,18.3,23500,368.6
Banbury,E14000539,15.9,17.1,85.1,7.6,"210,000",73.9,2.4,16.5,22600,422
Barking,E14000540,8.9,9.3,81.4,45,"180,000",62.8,8.9,41,20300,237.4
Barnsley Central,E14000541,17.4,19,75.8,2.7,"96,750",73.3,9.2,26.6,18400,244
Barnsley East,E14000542,18.2,19.7,74.1,1.9,"98,000",68.9,11.4,32.8,17900,167.5
Barrow and Furness,E14000543,21.4,23.1,76.8,1.6,"115,000",69.2,7.6,20.1,19400,325.2
Basildon and Billericay,E14000544,17.4,18.8,81.8,7.3,"219,125",70.1,9.5,17.6,22000,375.5
Basingstoke,E14000545,13.4,14.8,85.6,9.6,"210,000",81.9,4.9,17.2,23000,330.6
Bassetlaw,E14000546,19.9,21.8,77.3,2.6,"122,000",67.9,4.4,25.3,18900,281.4
Bath,E14000547,16.3,17.3,84.6,8.3,"250,000",69.7,4.8,14.2,22700,408.6
Batley and Spen,E14000548,15.8,16.9,80.1,22.2,"117,500",63.4,6.8,29.7,18800,267.6
Battersea,E14000549,8.1,8.7,88.3,26.5,"515,000",81.6,4.3,13.3,34000,542.9
Beaconsfield,E14000550,20.8,21.7,85.8,12.4,"370,000",76.3,3.8,11.1,27900,674.9
Beckenham,E14000551,18.6,20.2,85.7,13.3,"330,000",78.4,4.8,10.6,28400,402.5
Bedford,E14000552,15.5,16.6,81.7,25.6,"162,500",77.3,5.3,23.4,19500,302.2
Bermondsey and Old Southwark,E14000553,7,7.1,85.3,41.5,"370,000",68.8,10.3,19.9,26200,594.9
Berwick-upon-Tweed,E14000554,24.1,26.6,78.6,1.3,"155,000",68.8,8.1,21.1,19800,421.5
Bethnal Green and Bow,E14000555,6.7,6.8,82.4,53.1,"330,000",65.7,11.4,25,23900,512.2
Beverley and Holderness,E14000556,23.3,25.7,80.5,1.5,"142,500",75.7,4.8,18.8,20100,359.6
Bexhill and Battle,E14000557,28.8,30.7,78.4,2.8,"225,000",71.6,4.5,17.9,20400,441.2
Bexleyheath and Crayford,E14000558,16.6,17.8,82.2,15.9,"220,000",78.5,2.3,22.8,22400,261.7
Birkenhead,E14000559,16.6,17.9,75.9,4.2,"110,000",54.5,14.6,30.8,18600,222
Birmingham Edgbaston,E14000560,14.2,15.1,81.2,31.3,"163,000",66.4,10.3,25.4,21300,242
Birmingham Erdington,E14000561,14.1,14.9,76.3,26.9,"109,475",68.4,13.1,34.9,19100,173.4
Birmingham Hall Green,E14000562,11.3,11.7,79.3,64.5,"160,000",57,11,43.9,18700,232
Birmingham Hodge Hill,E14000563,10.3,10.7,77.7,64.3,"105,000",55.1,14.6,54.8,18600,109.6
Birmingham Ladywood,E14000564,6.9,7,81,72.7,"117,000",46.6,12.4,37.9,17900,595.6
Birmingham Northfield,E14000565,15.8,17.2,78,14.2,"123,500",59.3,13.6,29.7,20600,137.2
Birmingham Perry Barr,E14000566,12.4,13.1,79.3,60.3,"115,000",61.9,17.1,41.8,17000,180.6
Birmingham Selly Oak,E14000567,13.9,15.2,80.9,22.4,"139,500",54.7,12.9,21.4,19300,158.4
Birmingham Yardley,E14000568,13.8,14.5,77.6,34.4,"120,000",67,9,34.2,18100,204.6
Bishop Auckland,E14000569,20.5,22.6,75.7,1.2,"110,000",70.7,6.6,27.6,18500,336.5
Blackburn,E14000570,12.9,14,77.9,40.7,"95,000",59.3,8.4,43.5,16800,262.1
Blackley and Broughton,E14000571,11.1,11.7,77.1,32,"100,000",49.1,14.9,38.8,17900,242.8
Blackpool North and Cleveleys,E14000572,22.9,24.8,73.9,2.7,"109,725",69.7,4.5,32.4,18300,202.4
Blackpool South,E14000573,18.9,20.9,73.8,3.4,"90,000",63.7,7.6,38.6,16400,258.7
Blaydon,E14000574,21.1,23.2,77.3,1.8,"133,973",73.3,6.7,19.6,19600,230.4
Blyth Valley,E14000575,19,21.4,77.2,1.3,"120,000",73.4,7.8,24.8,19900,189.7
Bognor Regis and Littlehampton,E14000576,25,27,78.4,3.4,"195,000",79.9,4,24.3,18400,252.4
Bolsover,E14000577,19.5,21.2,74.4,1.9,"100,000",68.6,3.6,23.8,18700,249.1
Bolton North East,E14000578,16.7,18.3,78.4,17.5,"110,000",65.5,8.9,29.7,18000,292.2
Bolton South East,E14000579,14.5,15.7,78,27,"81,500",65.1,10.8,41.9,17200,232.9
